id;first_name;last_name;email;phone
1;Ayana;MacGyver;Quentin.Cole@gmail.com;558.345.3904
2;Betty;Jacobs;Edmund.Bogan@hotmail.com;1-732-001-5634
3;Marquise;Wilderman;Angelica31@hotmail.com;068.969.5907 x46171
4;Trent;Bauch;Luciano_Wiegand47@gmail.com;551.934.7233
5;Hugh;White;Lemuel_Erdman67@hotmail.com;1-359-094-0652 x51428
6;Cordelia;Bashirian;Otis93@yahoo.com;552-277-3494 x7997
7;Alexane;Murphy;Maeve.Nikolaus@yahoo.com;1-947-019-1900 x6600
8;Valerie;Morar;Dariana97@hotmail.com;041-787-2181 x412
9;Rosamond;Beahan;Walton11@gmail.com;1-058-821-0824 x5200
10;Chaz;Ullrich;Halie.Weimann@gmail.com;1-009-123-9628 x120
